timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T08:55:26.944685Z,postgres,,0.17,430469120,6,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,180,9,0,24,20,333,7680,0,0,4.95,80960552,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214007,88731.50896999982,1,6.155000,2841822,4706,,,,,,,,,,,,
2026-08-20T08:55:28.685553Z,postgres,8.772,0.16,432844800,4,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,177,7,0,24,18,333,7680,0,0,0.01,80960552,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214008,88733.87436999983,1,6.276000,2841822,4706,,,,,,,,,,,,
2026-08-20T08:55:30.667394Z,postgres,6.633,0.16,438005760,4,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,171,7,0,24,18,333,7680,0,0,0.15,80960552,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214015,88736.41491899983,1,6.159000,2841826,4706,,,,,,,,,,,,
2026-08-20T08:55:32.650912Z,postgres,8.101,0.16,444592128,2,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,171,5,0,24,16,333,7680,0,0,0.00,81012981,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214016,88738.80759399982,1,6.480000,2841826,4706,,,,,,,,,,,,
2026-08-20T08:55:34.677687Z,postgres,4.75,0.23,459247616,2,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,173,5,0,20,16,336,7680,0,0,0.54,81012981,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214021,88741.27943499983,2,6.370000,2841829,4706,,,,,,,,,,,,
2026-08-20T08:55:36.659730Z,postgres,4.847,0.23,460791808,2,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,175,5,0,20,16,336,7680,0,0,5.08,81023467,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214024,88743.73907799984,1,6.553000,2841830,4706,,,,,,,,,,,,
2026-08-20T08:55:38.697747Z,postgres,6.914,0.29,463155200,2,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,177,5,0,17,16,337,7680,0,0,0.02,81023467,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214025,88746.26666299983,1,6.230000,2841830,4706,,,,,,,,,,,,
2026-08-20T08:55:40.676521Z,postgres,4.592,0.29,463429632,2,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,179,5,0,17,16,337,7680,0,0,0.16,81023467,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214032,88748.77372699983,1,6.597000,2841834,4706,,,,,,,,,,,,
2026-08-20T08:55:42.695831Z,postgres,4.25,0.29,457756672,2,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,181,5,0,17,16,337,7680,0,0,0.00,81033953,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214033,88751.55230999982,1,6.238000,2841834,4706,,,,,,,,,,,,
2026-08-20T08:55:44.687025Z,postgres,7.053,0.35,456257536,2,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,183,5,0,9,16,337,7680,0,0,0.00,81033953,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,214040,88753.98148899982,1,6.261000,2841838,4706,,,,,,,,,,,,
