timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:43:32.053385Z,app1,,0.42,874172416,7,0,0,6,0,0,0,0,7,0,0,6,4,0,0,0,178,10,0,6,24,236,65536,0,0,0.39,484442112,1073741824,69,116699880.0,3.0,56.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:35.889892Z,app1,30.956,0.62,882049024,4,0,0,6,0,0,0,0,7,0,0,35,4,0,0,0,226,7,0,6,22,236,65536,0,0,0.32,485700403,1073741824,69,122877240.0,3.0,56.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:39.748370Z,app1,25.876,0.62,896835584,1,0,0,6,0,0,0,0,7,0,0,62,4,0,0,0,185,4,0,6,19,235,65536,0,0,1.10,486539264,1073741824,69,84210608.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:43.421639Z,app1,31.616,0.57,891170816,1,0,0,6,0,0,0,0,7,0,0,90,4,0,0,0,239,4,0,6,19,236,65536,0,0,6.43,488321843,1073741824,69,87860600.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:47.280709Z,app1,29.868,1.25,900407296,1,0,0,6,0,0,0,0,7,0,0,118,4,0,0,0,183,4,0,6,19,104,65536,0,0,0.32,488950988,1073741824,69,91508856.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:50.917771Z,app1,26.093,1.31,897335296,1,0,0,6,0,0,0,0,7,0,0,146,4,0,0,0,237,4,0,6,19,104,65536,0,0,0.42,488426700,1073741824,69,94839432.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:54.753905Z,app1,25.501,1.31,899661824,1,0,0,6,0,0,0,0,7,0,0,175,4,0,0,0,291,4,0,6,19,104,65536,0,0,32.67,489160704,1073741824,69,98356136.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:43:58.567546Z,app1,36.412,1.2,892473344,1,0,0,6,0,0,0,0,7,0,0,204,4,0,0,0,223,4,0,6,19,105,65536,0,0,0.54,489580134,1073741824,69,101720208.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:02.638329Z,app1,31.017,1.43,896344064,1,0,0,6,0,0,0,0,7,0,0,231,4,0,0,0,277,4,0,6,19,105,65536,0,0,0.30,489999564,1073741824,69,105058008.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:06.557979Z,app1,26.903,1.47,887521280,1,0,0,6,0,0,0,0,7,0,0,260,4,0,0,0,209,4,0,6,19,104,65536,0,0,0.41,490628710,1073741824,69,108364760.0,4.0,72.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,50.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:10.588614Z,app1,40.652,1.47,884031488,1,0,0,6,0,0,0,0,9,0,0,287,5,0,0,0,263,4,0,6,26,111,65536,0,0,57.40,498597888,1073741824,70,118227424.0,5.0,89.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:14.690995Z,app1,44.204,1.68,884170752,1,0,0,6,0,0,0,0,11,0,0,316,5,0,0,0,187,4,0,6,46,130,65536,0,0,85.31,504574771,1073741824,71,96523632.0,6.0,109.0,63.0,0.0,400.0,1.0,2.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:18.628847Z,app1,45.323,1.62,874663936,1,0,0,6,0,0,0,0,11,0,0,344,5,0,0,0,241,4,0,6,46,130,65536,0,0,20.79,507930214,1073741824,71,108367224.0,6.0,109.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:22.598123Z,app1,40.337,1.57,869302272,1,0,0,6,0,0,0,0,11,0,0,371,5,0,0,0,295,4,0,6,46,130,65536,0,0,25.52,510971084,1073741824,71,123899896.0,6.0,109.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:26.618938Z,app1,35.705,2.33,861888512,1,0,0,4,0,0,0,0,11,0,0,399,5,0,0,0,208,4,0,4,46,130,65536,0,0,28.16,514221670,1073741824,71,93212760.0,7.0,126.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:30.410551Z,app1,36.054,2.33,863318016,2,0,0,3,0,0,0,0,11,0,0,425,5,0,0,0,263,5,0,3,47,134,65536,0,0,41.65,516213964,1073741824,71,110210744.0,7.0,126.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:34.341374Z,app1,36.151,2.14,856928256,1,0,0,3,0,0,0,0,11,0,0,453,5,0,0,0,170,4,0,3,46,133,65536,0,0,13.11,517577113,1073741824,71,124250192.0,7.0,142.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:38.343945Z,app1,36.862,1.97,852819968,1,0,0,0,0,0,0,0,11,0,0,470,5,0,0,0,224,4,0,0,46,133,65536,0,0,15.37,519569408,1073741824,71,64688560.0,9.0,496.0,63.0,0.0,400.0,1.0,2.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:42.561113Z,app1,41.317,1.97,846667776,1,0,0,0,0,0,0,0,12,0,0,451,5,0,0,0,278,4,0,0,48,134,65536,0,0,19.11,520303411,1073741824,71,84534912.0,9.0,496.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:46.427834Z,app1,36.732,1.97,849543168,1,0,0,0,0,0,0,0,12,0,0,451,5,0,0,0,180,4,0,0,48,86,65536,0,0,42.59,521142272,1073741824,71,104810192.0,9.0,496.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:50.352362Z,app1,33.333,1.97,847781888,1,0,0,0,0,0,0,0,12,0,0,434,5,0,0,0,234,4,0,0,48,87,65536,0,0,14.30,522085990,1073741824,71,71860768.0,10.0,501.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:54.256029Z,app1,39.267,1.82,840404992,1,0,0,0,0,0,0,0,12,0,0,461,5,0,0,0,288,4,0,0,48,87,65536,0,0,11.33,523134566,1073741824,71,91696856.0,10.0,501.0,63.0,0.0,400.0,1.0,2.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:44:58.206649Z,app1,40.565,1.91,839458816,1,0,0,0,0,0,0,0,12,0,0,447,5,0,0,0,178,4,0,0,48,87,65536,0,0,33.54,524392857,1073741824,71,65793712.0,11.0,506.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:45:02.607159Z,app1,46.233,2.0,845557760,1,0,0,0,0,0,0,0,12,0,0,440,5,0,0,0,232,4,0,0,48,87,65536,0,0,39.39,525441433,1073741824,71,87159264.0,11.0,506.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:45:06.418447Z,app1,35.877,2.0,842752000,1,0,0,0,0,0,0,0,12,0,0,429,5,0,0,0,286,4,0,0,48,88,65536,0,0,7.67,525965721,1073741824,71,102158632.0,11.0,506.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:45:10.410093Z,app1,36.654,2.0,833826816,1,0,0,0,0,0,0,0,12,0,0,457,5,0,0,0,340,4,0,0,48,88,65536,0,0,0.35,526594867,1073741824,71,69666504.0,12.0,511.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:45:14.308889Z,app1,31.682,1.84,830054400,1,0,0,1,0,0,0,0,11,0,0,441,5,0,0,0,223,4,0,1,28,94,65536,0,0,0.28,533620326,1073741824,70,77917888.0,12.0,511.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:45:18.138583Z,app1,24.967,1.69,831922176,1,0,0,1,0,0,0,0,11,0,0,439,5,0,0,0,277,4,0,1,28,94,65536,0,0,0.75,526804582,1073741824,70,81101112.0,12.0,511.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
