timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:43:32.063673Z,postgres,,0.72,444882944,7,0,0,67,0,0,0,0,6,0,0,0,0,0,0,0,181,10,0,67,21,380,7680,0,0,0.06,60660121,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264046,97721.81042399976,1,13.844000,4074369,5813,,,,,,,,,,,,
2026-08-20T09:43:33.816290Z,postgres,8.596,0.66,451670016,7,0,0,68,0,0,0,0,6,0,0,0,0,0,0,0,180,10,0,68,21,393,7680,0,0,0.07,60985180,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264050,97725.54674099977,1,6.230000,4074371,5813,,,,,,,,,,,,
2026-08-20T09:43:35.797823Z,postgres,4.897,0.66,466137088,7,0,0,68,0,0,0,0,6,0,0,0,0,0,0,0,182,10,0,68,21,393,7680,0,0,5.15,61016637,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264054,97728.00955299976,1,6.294000,4074373,5813,,,,,,,,,,,,
2026-08-20T09:43:37.817175Z,postgres,7.731,0.66,462901248,4,0,0,63,0,0,0,0,6,0,0,0,0,0,0,0,181,7,0,63,18,394,7680,0,0,0.00,61016637,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264055,97730.40069299977,1,6.265000,4074373,5813,,,,,,,,,,,,
2026-08-20T09:43:39.828225Z,postgres,5.736,0.61,479383552,2,0,0,63,0,0,0,0,6,0,0,0,0,0,0,0,181,5,0,63,16,394,7680,0,0,0.02,61016637,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264059,97732.85731099977,1,6.338000,4074375,5813,,,,,,,,,,,,
2026-08-20T09:43:41.826564Z,postgres,6.076,0.61,468815872,2,0,0,57,0,0,0,0,6,0,0,0,0,0,0,0,183,5,0,57,16,394,7680,0,0,0.08,61027123,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264063,97735.24707999978,1,6.245000,4074377,5813,,,,,,,,,,,,
2026-08-20T09:43:43.816605Z,postgres,4.835,0.56,475611136,2,0,0,57,0,0,0,0,6,0,0,0,0,0,0,0,185,5,0,57,16,394,7680,0,0,0.06,61027123,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264067,97737.63072099978,1,6.333000,4074379,5813,,,,,,,,,,,,
2026-08-20T09:43:45.842730Z,postgres,5.198,0.56,477876224,2,0,0,57,0,0,0,0,6,0,0,0,0,0,0,0,187,5,0,57,16,394,7680,0,0,5.28,61037608,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264071,97740.06854799976,1,6.286000,4074381,5813,,,,,,,,,,,,
2026-08-20T09:43:47.856679Z,postgres,6.767,0.56,475832320,2,0,0,52,0,0,0,0,6,0,0,0,0,0,0,0,188,5,0,52,16,394,7680,0,0,0.00,61037608,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264072,97742.47491699975,1,6.229000,4074381,5813,,,,,,,,,,,,
2026-08-20T09:43:49.837159Z,postgres,4.337,0.52,475676672,2,0,0,52,0,0,0,0,6,0,0,0,0,0,0,0,190,5,0,52,16,394,7680,0,0,0.00,61037608,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,264076,97744.90000199978,1,6.213000,4074383,5813,,,,,,,,,,,,
