spring-1  | 2026-08-20T09:49:32.606256960Z {"@timestamp":"2026-08-20T09:49:32.605749467Z","level":"INFO","requestId":"e7d90ca2-26b0-4b96-8954-bd370b7262d1","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:32.849891073Z {"@timestamp":"2026-08-20T09:49:32.848770824Z","level":"INFO","requestId":"eca62f1f-5131-4070-9516-2b187081a01d","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:33.099072872Z {"@timestamp":"2026-08-20T09:49:33.098728956Z","level":"INFO","requestId":"985770d5-99d7-40f0-a3e1-11cf09737171","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:33.357424281Z {"@timestamp":"2026-08-20T09:49:33.35706649Z","level":"INFO","requestId":"66a8a5b3-5416-4818-8acf-2aca53e28472","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:33.608222352Z {"@timestamp":"2026-08-20T09:49:33.607357306Z","level":"INFO","requestId":"a8bc7b66-3792-4381-9e38-9a288050b952","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:33.862836760Z {"@timestamp":"2026-08-20T09:49:33.862482603Z","level":"INFO","requestId":"31123d8d-53c8-4da7-9470-b72e35326b08","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:34.097410736Z {"@timestamp":"2026-08-20T09:49:34.09712725Z","level":"INFO","requestId":"e37d74c4-1530-4a1c-9fb0-afa1e5d6ec93","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:34.349739007Z {"@timestamp":"2026-08-20T09:49:34.349369015Z","level":"INFO","requestId":"fdb3da44-d280-4f0b-94fc-557e06b67dc2","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:34.720149927Z {"@timestamp":"2026-08-20T09:49:34.719832628Z","level":"INFO","requestId":"3ac14b4c-b492-43a4-aa57-4f96ee4fce6c","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:34.967599196Z {"@timestamp":"2026-08-20T09:49:34.967247927Z","level":"INFO","requestId":"0d7664dd-8a98-40a5-acac-a16be143ba61","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:35.218474870Z {"@timestamp":"2026-08-20T09:49:35.218168984Z","level":"INFO","requestId":"c3e977d1-0d38-4ae9-96fe-7dcae45a9eda","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:35.497099260Z {"@timestamp":"2026-08-20T09:49:35.490912357Z","level":"INFO","requestId":"a315b13a-68f7-48ff-91f6-d00d54ee3110","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:35.724483662Z {"@timestamp":"2026-08-20T09:49:35.72417986Z","level":"INFO","requestId":"fe768d35-b312-4583-9c48-7b6f08d0c981","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:35.966336171Z {"@timestamp":"2026-08-20T09:49:35.965962905Z","level":"INFO","requestId":"f4d09050-761b-47d0-a7eb-3f2222a3e854","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:36.230924772Z {"@timestamp":"2026-08-20T09:49:36.229165625Z","level":"INFO","requestId":"3c59c619-6f5b-4528-8e8c-a633ca29eb6a","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:36.468921109Z {"@timestamp":"2026-08-20T09:49:36.468627547Z","level":"INFO","requestId":"6af68bfa-23b4-4edd-8150-abf5a2b271c8","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:36.631992341Z {"@timestamp":"2026-08-20T09:49:36.626655764Z","level":"INFO","requestId":"35a0fbd3-7944-4df2-a386-18005540671e","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:36.868838635Z {"@timestamp":"2026-08-20T09:49:36.867789917Z","level":"INFO","requestId":"e1ee72ad-2937-4505-bf2f-f76474a1efc5","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.095258094Z {"@timestamp":"2026-08-20T09:49:37.094963145Z","level":"INFO","requestId":"9f922409-8db7-43e4-ad1c-8b75148f1742","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
spring-1  | 2026-08-20T09:49:37.346237218Z {"@timestamp":"2026-08-20T09:49:37.345895927Z","level":"INFO","requestId":"6985c7d3-9359-4f9a-8999-bb175b0d1952","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"bdc8cd54eba7e63f0ce64745b45bb47fa92ef0bd"}
