spring-1  | 2026-08-20T08:35:51.027566654Z {"@timestamp":"2026-08-20T08:35:51.026254083Z","level":"INFO","requestId":"44c418d1-1afd-4c06-90c0-124a147598ea","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:51.111364528Z {"@timestamp":"2026-08-20T08:35:51.110903778Z","level":"INFO","requestId":"343bd206-d28d-4838-9c5d-c93fc28c53e8","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:51.391806386Z {"@timestamp":"2026-08-20T08:35:51.39136697Z","level":"INFO","requestId":"2aac06f8-b350-4f85-bbd9-346c3044e8ca","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:51.638893480Z {"@timestamp":"2026-08-20T08:35:51.638467791Z","level":"INFO","requestId":"9f0c4fbb-b36f-43bf-ad3d-87004bbccd4f","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:51.890744079Z {"@timestamp":"2026-08-20T08:35:51.890316134Z","level":"INFO","requestId":"efd15e8a-5a7b-40cb-a096-207355bb8728","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:52.136965862Z {"@timestamp":"2026-08-20T08:35:52.136542545Z","level":"INFO","requestId":"221ad560-b77f-4969-aa35-e6c74ee123fb","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:52.424537557Z {"@timestamp":"2026-08-20T08:35:52.424159319Z","level":"INFO","requestId":"792e3598-9e01-4193-a874-e4dd22ed8027","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:52.684838572Z {"@timestamp":"2026-08-20T08:35:52.682914496Z","level":"INFO","requestId":"025bd7c2-a37e-4c01-b5a6-3070a5443bf8","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:52.793167201Z {"@timestamp":"2026-08-20T08:35:52.792750686Z","level":"INFO","requestId":"04395eb5-c6d3-4f91-87bb-e25debb19aa0","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:53.134357786Z {"@timestamp":"2026-08-20T08:35:53.133884778Z","level":"INFO","requestId":"b1c9ad43-ddf4-4d0f-af1f-9f0e080ce941","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:53.295807427Z {"@timestamp":"2026-08-20T08:35:53.295315194Z","level":"INFO","requestId":"b71074fb-581c-4675-b613-3e184df88517","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T08:35:53.662445048Z {"@timestamp":"2026-08-20T08:35:53.661015618Z","level":"INFO","requestId":"ad0e740b-3a85-45b1-bd65-18f035246771","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
