spring-1  | 2026-08-20T09:25:44.427842715Z {"@timestamp":"2026-08-20T09:25:44.422593039Z","level":"INFO","requestId":"6f540768-e712-442c-8cc8-e2b83d5fb194","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:44.429465683Z {"@timestamp":"2026-08-20T09:25:44.428899154Z","level":"INFO","requestId":"ead267ee-2a9b-4e9e-b509-9d4d901a484c","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:44.525129167Z {"@timestamp":"2026-08-20T09:25:44.524346254Z","level":"INFO","requestId":"dbee3254-a43b-4ab1-9d8d-11f6ebd7b41e","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:44.585097294Z {"@timestamp":"2026-08-20T09:25:44.584570658Z","level":"INFO","requestId":"1fe51cff-57ea-4542-8a3c-171ca7a2145c","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:44.861359841Z {"@timestamp":"2026-08-20T09:25:44.860844069Z","level":"INFO","requestId":"7e63ae36-8cd3-4064-adcc-365342ae5980","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:45.212239479Z {"@timestamp":"2026-08-20T09:25:45.200805927Z","level":"INFO","requestId":"dfb391a7-c52d-4d50-a702-9267600c10a9","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:45.418757269Z {"@timestamp":"2026-08-20T09:25:45.418270616Z","level":"INFO","requestId":"62a89416-dc92-4a17-98e1-c1619b1c7573","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:45.612852341Z {"@timestamp":"2026-08-20T09:25:45.611948386Z","level":"INFO","requestId":"4b705d48-56e0-450b-b287-7141b9c68719","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:45.957492153Z {"@timestamp":"2026-08-20T09:25:45.957060926Z","level":"INFO","requestId":"ffe6e7c0-d5e9-463f-b351-ecc11683c151","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:46.081710767Z {"@timestamp":"2026-08-20T09:25:46.081291118Z","level":"INFO","requestId":"d213993e-b71d-4d7c-8b38-56dd4d4937ff","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:25:46.476497471Z {"@timestamp":"2026-08-20T09:25:46.474518574Z","level":"INFO","requestId":"a7e0c06d-b156-4041-923f-b10d6a142a83","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
