timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:25:06.337350Z,postgres,,0.2,461209600,5,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,173,8,0,28,19,353,7680,0,0,0.02,60827893,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239558,92759.39470499978,1,15.524000,3432212,5374,,,,,,,,,,,,
2026-08-20T09:25:08.076073Z,postgres,6.997,0.2,452603904,4,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,171,7,0,28,18,352,7680,0,0,5.00,61247324,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239562,92764.55921899978,1,6.383000,3432214,5374,,,,,,,,,,,,
2026-08-20T09:25:10.073560Z,postgres,7.398,0.2,454238208,4,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,173,7,0,28,18,352,7680,0,0,0.52,61268295,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239566,92767.18578599978,1,6.288000,3432216,5374,,,,,,,,,,,,
2026-08-20T09:25:12.079921Z,postgres,6.03,0.18,468283392,3,0,0,25,0,0,0,0,6,0,0,0,0,0,0,0,174,6,0,25,17,354,7680,0,0,0.06,61268295,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239570,92769.62102199979,1,6.320000,3432218,5374,,,,,,,,,,,,
2026-08-20T09:25:14.120513Z,postgres,7.143,0.18,478482432,2,0,0,25,0,0,0,0,6,0,0,0,0,0,0,0,175,5,0,25,16,354,7680,0,0,0.07,61278781,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239574,92772.10207599978,1,6.465000,3432220,5374,,,,,,,,,,,,
2026-08-20T09:25:16.088769Z,postgres,5.584,0.18,479248384,2,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,177,5,0,24,16,355,7680,0,0,0.02,61299752,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239575,92774.55340899978,1,6.358000,3432220,5374,,,,,,,,,,,,
2026-08-20T09:25:18.099330Z,postgres,5.237,0.17,480329728,1,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,178,4,0,24,15,355,7680,0,0,5.41,61310238,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239579,92777.02486199982,1,6.454000,3432222,5374,,,,,,,,,,,,
2026-08-20T09:25:20.121019Z,postgres,6.767,0.17,483315712,1,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,180,4,0,24,15,355,7680,0,0,0.00,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239583,92779.57242799978,1,6.750000,3432224,5374,,,,,,,,,,,,
2026-08-20T09:25:22.097173Z,postgres,4.847,0.15,476495872,1,0,0,23,0,0,0,0,6,0,0,0,0,0,0,0,182,4,0,23,15,355,7680,0,0,0.06,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239587,92782.07952299979,1,6.612000,3432226,5374,,,,,,,,,,,,
2026-08-20T09:25:24.109108Z,postgres,5.473,0.15,482336768,1,0,0,23,0,0,0,0,6,0,0,0,0,0,0,0,184,4,0,23,15,355,7680,0,0,0.06,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239591,92784.6289729998,1,6.192000,3432228,5374,,,,,,,,,,,,
2026-08-20T09:25:26.108660Z,postgres,6.345,0.15,478945280,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,186,4,0,22,15,355,7680,0,0,0.02,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239592,92786.9872019998,1,6.448000,3432228,5374,,,,,,,,,,,,
2026-08-20T09:25:28.097996Z,postgres,4.798,0.14,477507584,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,188,4,0,22,15,355,7680,0,0,5.05,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239596,92789.4211729998,1,7.212000,3432230,5374,,,,,,,,,,,,
2026-08-20T09:25:30.143496Z,postgres,7.843,0.14,476463104,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,190,4,0,22,15,355,7680,0,0,0.48,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239600,92792.30342099979,1,6.472000,3432232,5374,,,,,,,,,,,,
2026-08-20T09:25:32.136998Z,postgres,5.051,0.13,474296320,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,192,4,0,22,15,355,7680,0,0,0.07,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239604,92794.79966199979,1,6.771000,3432234,5374,,,,,,,,,,,,
2026-08-20T09:25:34.108498Z,postgres,4.37,0.13,478732288,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,194,4,0,22,15,356,7680,0,0,2.07,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239608,92797.32237199979,1,6.800000,3432236,5374,,,,,,,,,,,,
2026-08-20T09:25:36.127945Z,postgres,6.516,0.13,473964544,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,196,4,0,15,15,356,7680,0,0,0.00,61331210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239609,92799.8046549998,1,6.240000,3432236,5374,,,,,,,,,,,,
2026-08-20T09:25:38.147317Z,postgres,4.738,0.12,476606464,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,198,4,0,15,15,356,7680,0,0,0.01,61341696,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239613,92802.2160939998,1,6.480000,3432238,5374,,,,,,,,,,,,
2026-08-20T09:25:40.128198Z,postgres,6.138,0.12,476110848,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,200,4,0,15,15,356,7680,0,0,0.00,61341696,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239619,92804.71428899979,1,6.190000,3432243,5374,,,,,,,,,,,,
2026-08-20T09:25:42.130341Z,postgres,4.534,0.11,469360640,1,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,202,4,0,14,15,225,7680,0,0,0.93,62253957,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,239664,92966.0392089998,3,110.664000,3432538,5391,,,,,,,,,,,,
2026-08-20T09:25:44.160062Z,postgres,5.25,0.11,473366528,1,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,168,4,0,14,15,225,7680,0,0,12.27,66521661,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,240028,93633.03700199982,2,9.046000,3435798,5444,,,,,,,,,,,,
2026-08-20T09:25:46.160425Z,postgres,9.207,0.11,471810048,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,169,4,0,10,15,225,7680,0,0,3.75,67507322,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,240275,93659.97843499976,2,35.438000,3437587,5459,,,,,,,,,,,,
2026-08-20T09:25:48.188426Z,postgres,6.468,0.26,470388736,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,171,4,0,10,15,225,7680,0,0,5.89,67758981,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,240697,93703.2198019998,2,26.303000,3441048,5473,,,,,,,,,,,,
2026-08-20T09:25:50.177756Z,postgres,10.579,0.26,469495808,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,173,4,0,10,15,226,7680,0,0,5.04,67800924,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,241013,93732.39933899982,2,6.577000,3443337,5474,,,,,,,,,,,,
2026-08-20T09:25:52.156892Z,postgres,6.633,0.24,461418496,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,175,4,0,10,15,226,7680,0,0,2.39,67832381,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,241257,93754.95663299982,2,9.710000,3445012,5475,,,,,,,,,,,,
2026-08-20T09:25:54.158896Z,postgres,7.0,0.24,465014784,2,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,178,5,0,10,16,229,7680,0,0,10.10,67874324,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,241765,93803.14096899978,2,40.854000,3449188,5477,,,,,,,,,,,,
2026-08-20T09:25:56.191825Z,postgres,8.794,0.24,464363520,2,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,180,5,0,10,16,229,7680,0,0,2.35,67926753,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,242008,93824.67255199977,1,6.554000,3450849,5478,,,,,,,,,,,,
2026-08-20T09:25:58.188938Z,postgres,6.281,0.22,464404480,2,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,182,5,0,10,16,229,7680,0,0,2.70,68021125,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,1,242261,93847.4625219998,4,181.090000,3452703,5480,,,,,,,,,,,,
2026-08-20T09:26:00.266475Z,postgres,15.049,0.22,470921216,2,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,184,5,0,10,16,229,7680,0,0,6.97,68073553,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,242704,93996.75534199979,2,16.529000,3456376,5481,,,,,,,,,,,,
2026-08-20T09:26:02.169801Z,postgres,7.258,0.2,466620416,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,186,5,0,6,16,229,7680,0,0,2.74,68388126,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,242981,94076.00114799978,2,25.332000,3458268,5482,,,,,,,,,,,,
2026-08-20T09:26:04.175579Z,postgres,7.232,0.2,468041728,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,188,5,0,6,16,229,7680,0,0,7.48,68272783,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,243262,94137.8025029998,4,42.103000,3460451,5482,,,,,,,,,,,,
2026-08-20T09:26:06.191298Z,postgres,9.63,0.2,468852736,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,190,5,0,6,16,230,7680,0,0,2.55,68430069,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,243735,94181.16223299979,1,6.544000,3464506,5484,,,,,,,,,,,,
2026-08-20T09:26:08.186340Z,postgres,7.36,0.19,465915904,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,192,5,0,0,16,230,7680,0,0,2.34,68472012,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,243974,94201.5060219998,2,38.298000,3466129,5485,,,,,,,,,,,,
