spring-1  | 2026-08-20T09:31:01.095611497Z {"@timestamp":"2026-08-20T09:31:01.094679207Z","level":"INFO","requestId":"78fffbb2-03d0-42ec-b3f2-8d2e3e04ccf3","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:01.358922060Z {"@timestamp":"2026-08-20T09:31:01.358651844Z","level":"INFO","requestId":"25795d62-12ff-4d70-b9a0-ee59de86688a","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:01.591604723Z {"@timestamp":"2026-08-20T09:31:01.591339808Z","level":"INFO","requestId":"03a95097-04e5-48d0-b361-6d7aa40ddad9","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:01.845640965Z {"@timestamp":"2026-08-20T09:31:01.845373662Z","level":"INFO","requestId":"eaa331e9-9017-449c-b424-8b133322527a","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:02.091624533Z {"@timestamp":"2026-08-20T09:31:02.091325287Z","level":"INFO","requestId":"f54dd80d-ba61-44b1-a402-584cb3ef7a2c","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:02.339565441Z {"@timestamp":"2026-08-20T09:31:02.339264677Z","level":"INFO","requestId":"551b8626-cec9-4cf7-ace0-22e44ea557bd","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:02.590618202Z {"@timestamp":"2026-08-20T09:31:02.590322049Z","level":"INFO","requestId":"876eafb2-78cf-4972-8c36-7a16bb5d6ee2","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:02.840000322Z {"@timestamp":"2026-08-20T09:31:02.839724232Z","level":"INFO","requestId":"d4412b77-7cc1-4f01-a12c-cafe7c3dffa4","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:02.959582538Z {"@timestamp":"2026-08-20T09:31:02.959304216Z","level":"INFO","requestId":"88e98afc-415a-4d40-93e3-f43d2638d57d","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:03.208642192Z {"@timestamp":"2026-08-20T09:31:03.208333338Z","level":"INFO","requestId":"1bd36d5e-78de-4b77-bb92-1acd52397987","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:03.457673292Z {"@timestamp":"2026-08-20T09:31:03.457364946Z","level":"INFO","requestId":"7a6584cf-ff5f-4b53-96aa-5dfc8b8af8a0","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:03.708165641Z {"@timestamp":"2026-08-20T09:31:03.707882338Z","level":"INFO","requestId":"b2625bd0-5d33-4de1-8b60-aa247f794b1e","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
spring-1  | 2026-08-20T09:31:03.960889624Z {"@timestamp":"2026-08-20T09:31:03.960590116Z","level":"INFO","requestId":"b09149fa-33a8-4b9e-9d24-1a250dca7ab1","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app1","instanceId":"i-0954cd49ffdc1ed4f","release":"cd0fc2fe0e2fbcce6a78b47a7f699b0d5aa311a1"}
