timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:30:25.230507Z,app2,,0.16,837181440,6,0,0,9,0,0,0,0,8,0,0,7,5,0,0,0,173,9,0,9,22,102,65536,0,0,0.29,532362035,1073741824,70,91966544.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:29.004909Z,app2,26.803,0.23,837378048,4,0,0,9,0,0,0,0,8,0,0,35,5,0,0,0,222,7,0,9,21,102,65536,0,0,2.78,532466892,1073741824,70,95299656.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:33.078441Z,app2,28.411,0.37,842911744,1,0,0,9,0,0,0,0,8,0,0,65,5,0,0,0,273,4,0,9,18,103,65536,0,0,0.80,532466892,1073741824,70,98396400.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:37.249708Z,app2,25.587,0.37,845291520,1,0,0,9,0,0,0,0,8,0,0,92,5,0,0,0,215,4,0,9,18,103,65536,0,0,0.34,532676608,1073741824,70,101519080.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:41.149174Z,app2,26.219,0.34,840851456,1,0,0,9,0,0,0,0,8,0,0,120,5,0,0,0,269,4,0,9,18,103,65536,0,0,0.42,532676608,1073741824,70,104788360.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:45.180726Z,app2,25.478,0.47,842059776,1,0,0,9,0,0,0,0,8,0,0,147,5,0,0,0,187,4,0,9,18,103,65536,0,0,0.36,532781465,1073741824,70,108162688.0,12.0,599.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:49.236152Z,app2,26.015,0.52,835481600,1,0,0,9,0,0,0,0,8,0,0,175,5,0,0,0,241,4,0,9,18,104,65536,0,0,9.25,532886323,1073741824,70,65732264.0,13.0,607.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:52.975914Z,app2,25.627,0.52,840458240,1,0,0,9,0,0,0,0,8,0,0,204,5,0,0,0,295,4,0,9,18,104,65536,0,0,0.38,532886323,1073741824,70,69124856.0,13.0,607.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,49.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:30:56.918004Z,app2,26.405,0.56,837599232,1,0,0,9,0,0,0,0,8,0,0,231,5,0,0,0,207,4,0,9,18,104,65536,0,0,0.33,533096038,1073741824,70,72156352.0,13.0,607.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,50.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:31:01.522761Z,app2,35.588,0.51,838483968,2,0,0,9,0,0,0,0,10,0,0,260,5,0,0,0,262,5,0,9,21,108,65536,0,0,25.11,533620326,1073741824,70,83631720.0,13.0,607.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:31:05.817941Z,app2,32.0,0.47,843227136,2,0,0,9,0,0,0,0,10,0,0,287,5,0,0,0,316,5,0,9,21,64,65536,0,0,46.10,537604915,1073741824,70,97259960.0,13.0,607.0,62.0,2.0,400.0,1.0,2.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:31:10.061445Z,app2,40.072,0.59,832966656,1,0,0,9,0,0,0,0,10,0,0,314,5,0,0,0,219,4,0,9,20,64,65536,0,0,12.14,535612620,1073741824,70,69618000.0,14.0,618.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T09:31:14.146543Z,app2,33.291,0.79,831971328,1,0,0,9,0,0,0,0,10,0,0,343,5,0,0,0,273,4,0,9,20,64,65536,0,0,19.80,539597209,1073741824,70,86617224.0,14.0,618.0,62.0,0.0,400.0,1.0,2.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
