timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:30:25.210193Z,postgres,,0.25,434966528,7,0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,180,10,0,29,21,432,7680,0,0,5.17,74543267,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251393,95695.38867599977,1,6.927000,3742991,5490,,,,,,,,,,,,
2026-08-20T09:30:26.909580Z,postgres,9.792,0.25,443068416,5,0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,177,8,0,29,19,432,7680,0,0,0.02,74543267,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251394,95698.02621999977,1,6.280000,3742991,5490,,,,,,,,,,,,
2026-08-20T09:30:28.936621Z,postgres,6.948,0.31,454299648,5,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,179,8,0,28,19,432,7680,0,0,0.04,74553753,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251401,95700.56010699976,1,6.353000,3742995,5490,,,,,,,,,,,,
2026-08-20T09:30:30.933750Z,postgres,8.354,0.31,454340608,3,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,179,6,0,28,17,432,7680,0,0,0.00,74564239,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251402,95703.08732199977,1,6.747000,3742995,5490,,,,,,,,,,,,
2026-08-20T09:30:32.946801Z,postgres,5.25,0.29,467591168,2,0,0,27,0,0,0,0,6,0,0,0,0,0,0,0,180,5,0,27,16,432,7680,0,0,0.10,74564239,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251409,95705.7219509998,1,7.533000,3742999,5490,,,,,,,,,,,,
2026-08-20T09:30:34.955097Z,postgres,4.282,0.29,466649088,2,0,0,27,0,0,0,0,6,0,0,0,0,0,0,0,182,5,0,27,16,432,7680,0,0,5.33,74564239,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251410,95708.61118199979,1,6.191000,3742999,5490,,,,,,,,,,,,
2026-08-20T09:30:36.938664Z,postgres,6.633,0.29,468672512,2,0,0,27,0,0,0,0,6,0,0,0,0,0,0,0,184,5,0,27,16,432,7680,0,0,0.02,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251414,95710.99583199977,1,6.486000,3743001,5490,,,,,,,,,,,,
2026-08-20T09:30:38.955897Z,postgres,4.738,0.34,459161600,2,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,186,5,0,22,16,432,7680,0,0,0.07,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251418,95713.42006399977,1,6.391000,3743003,5490,,,,,,,,,,,,
2026-08-20T09:30:40.975667Z,postgres,4.738,0.34,466386944,1,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,187,4,0,22,15,432,7680,0,0,0.00,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251419,95715.92062899977,1,6.357000,3743003,5490,,,,,,,,,,,,
2026-08-20T09:30:42.957350Z,postgres,6.616,0.32,466464768,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,189,4,0,15,15,432,7680,0,0,0.12,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251426,95718.49761699978,1,6.421000,3743007,5490,,,,,,,,,,,,
2026-08-20T09:30:44.965560Z,postgres,5.0,0.32,467480576,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,191,4,0,15,15,432,7680,0,0,4.87,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251427,95720.88412099978,1,6.354000,3743007,5490,,,,,,,,,,,,
2026-08-20T09:30:46.967045Z,postgres,6.801,0.32,466677760,1,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,193,4,0,15,15,432,7680,0,0,0.00,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251431,95723.35234099979,1,6.598000,3743009,5490,,,,,,,,,,,,
2026-08-20T09:30:48.969602Z,postgres,5.263,0.37,466681856,1,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,195,4,0,14,15,247,7680,0,0,0.04,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251435,95725.88525999976,1,6.236000,3743011,5490,,,,,,,,,,,,
2026-08-20T09:30:50.965664Z,postgres,4.315,0.37,458477568,1,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,197,4,0,14,15,247,7680,0,0,1.05,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251436,95728.26199099977,1,6.585000,3743011,5490,,,,,,,,,,,,
2026-08-20T09:30:52.958665Z,postgres,7.053,0.34,465645568,1,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,199,4,0,14,15,247,7680,0,0,0.13,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251443,95730.72202399977,1,6.374000,3743015,5490,,,,,,,,,,,,
2026-08-20T09:30:54.977423Z,postgres,4.975,0.34,467468288,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,201,4,0,10,15,247,7680,0,0,0.00,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251444,95733.19190899977,1,6.451000,3743015,5490,,,,,,,,,,,,
2026-08-20T09:30:56.987137Z,postgres,7.232,0.34,468004864,1,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,169,4,0,10,15,248,7680,0,0,0.00,74574725,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251448,95735.61357999979,1,6.417000,3743017,5490,,,,,,,,,,,,
2026-08-20T09:30:59.008692Z,postgres,4.261,0.47,463110144,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,171,4,0,5,15,248,7680,0,0,0.31,74585210,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251483,95740.41572299978,1,6.672000,3743162,5490,,,,,,,,,,,,
2026-08-20T09:31:01.010500Z,postgres,5.528,0.47,466735104,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,173,4,0,5,15,248,7680,0,0,7.83,74616668,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,251724,95765.11779799977,1,6.787000,3744816,5490,,,,,,,,,,,,
2026-08-20T09:31:03.017641Z,postgres,8.728,0.44,462983168,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,175,4,0,5,15,248,7680,0,0,6.47,74637639,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,252133,95802.73612399978,1,6.593000,3747949,5490,,,,,,,,,,,,
2026-08-20T09:31:05.007691Z,postgres,7.36,0.44,461541376,1,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,177,4,0,4,15,248,7680,0,0,2.31,74658611,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,252374,95823.2893049998,1,6.516000,3749602,5490,,,,,,,,,,,,
2026-08-20T09:31:07.029467Z,postgres,6.582,0.44,465526784,1,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,179,4,0,4,15,248,7680,0,0,2.53,74679582,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,252615,95845.15954399979,1,6.400000,3751253,5490,,,,,,,,,,,,
2026-08-20T09:31:09.007397Z,postgres,7.323,0.56,463933440,1,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,181,4,0,4,15,248,7680,0,0,4.80,74721525,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,253114,95888.55767999981,1,6.366000,3755035,5490,,,,,,,,,,,,
2026-08-20T09:31:11.038185Z,postgres,10.294,0.56,462626816,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,184,5,0,4,16,251,7680,0,0,7.78,74711040,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,253355,95910.03888299978,1,6.279000,3756675,5490,,,,,,,,,,,,
2026-08-20T09:31:13.037861Z,postgres,8.081,0.52,461426688,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,186,5,0,4,16,252,7680,0,0,2.42,74711040,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,253854,95952.7878149998,1,6.949000,3760375,5490,,,,,,,,,,,,
2026-08-20T09:31:15.039038Z,postgres,7.36,0.52,461430784,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,188,5,0,2,16,252,7680,0,0,2.35,74721525,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,254095,95974.31580499979,1,6.381000,3762037,5490,,,,,,,,,,,,
2026-08-20T09:31:17.028589Z,postgres,8.586,0.52,462688256,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,189,4,0,2,15,252,7680,0,0,2.36,74784440,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,254336,95995.1550719998,1,6.501000,3763681,5490,,,,,,,,,,,,
2026-08-20T09:31:19.045794Z,postgres,5.303,0.72,461549568,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,191,4,0,2,15,252,7680,0,0,7.61,74847354,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,254835,96038.56503199982,1,6.430000,3767401,5490,,,,,,,,,,,,
2026-08-20T09:31:21.069884Z,postgres,9.951,0.72,465522688,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,193,4,0,2,15,252,7680,0,0,7.31,74878812,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,255076,96060.50482399981,1,6.696000,3769048,5490,,,,,,,,,,,,
