timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T10:02:56.068759Z,app1,,0.13,856203264,7,0,0,14,0,0,0,0,7,0,0,6,4,0,0,0,178,10,0,14,24,152,65536,0,0,0.24,493355008,1073741824,69,94023808.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:00.471197Z,app1,32.881,0.44,872767488,3,0,0,14,0,0,0,0,7,0,0,33,4,0,0,0,225,6,0,14,21,151,65536,0,0,1.27,494613299,1073741824,69,99802080.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:04.630822Z,app1,27.091,0.49,881434624,2,0,0,14,0,0,0,0,7,0,0,62,4,0,0,0,184,5,0,14,20,151,65536,0,0,0.64,495452160,1073741824,69,103726832.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:08.609682Z,app1,27.156,0.53,879951872,2,0,0,14,0,0,0,0,7,0,0,90,4,0,0,0,238,5,0,14,20,152,65536,0,0,0.35,496081305,1073741824,69,106978768.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:12.660508Z,app1,23.907,0.53,874995712,2,0,0,14,0,0,0,0,7,0,0,117,4,0,0,0,178,5,0,14,20,152,65536,0,0,3.26,497025024,1073741824,69,110708960.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:16.569706Z,app1,26.275,0.49,880168960,2,0,0,14,0,0,0,0,7,0,0,146,4,0,0,0,232,5,0,14,20,152,65536,0,0,0.32,497025024,1073741824,69,113956720.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:20.542247Z,app1,26.943,0.45,878100480,2,0,0,14,0,0,0,0,7,0,0,174,4,0,0,0,286,5,0,14,20,152,65536,0,0,1.51,497759027,1073741824,69,117140192.0,3.0,104.0,61.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:24.663344Z,app1,30.0,0.73,872955904,2,0,0,14,0,0,0,0,7,0,0,203,4,0,0,0,224,5,0,14,20,153,65536,0,0,0.61,498702745,1073741824,70,122259504.0,3.0,104.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,47.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:28.607997Z,app1,23.691,0.83,874827776,1,0,0,14,0,0,0,0,7,0,0,231,4,0,0,0,277,4,0,14,19,153,65536,0,0,0.39,499227033,1073741824,70,81625616.0,4.0,117.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,50.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:33.116300Z,app1,45.311,1.81,868454400,1,0,0,11,0,0,0,0,10,0,0,258,5,0,0,0,211,4,0,11,33,82,65536,0,0,41.69,507825356,1073741824,71,91848536.0,5.0,138.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:37.208624Z,app1,46.008,1.81,863805440,2,0,0,11,0,0,0,0,11,0,0,286,5,0,0,0,266,5,0,11,48,98,65536,0,0,25.17,513277952,1073741824,71,109158560.0,5.0,138.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:41.413652Z,app1,35.741,1.66,849678336,1,0,0,11,0,0,0,0,11,0,0,313,5,0,0,0,185,4,0,11,47,99,65536,0,0,65.05,517891686,1073741824,71,85510104.0,6.0,158.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,53.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:45.520322Z,app1,43.554,1.53,848719872,1,0,0,11,0,0,0,0,11,0,0,342,5,0,0,0,239,4,0,11,47,99,65536,0,0,18.96,520617984,1073741824,71,105834368.0,6.0,158.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:49.445793Z,app1,40.417,1.65,845873152,1,0,0,6,0,0,0,0,11,0,0,370,5,0,0,0,292,4,0,6,47,99,65536,0,0,22.59,523134566,1073741824,71,117818824.0,6.0,158.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:53.727797Z,app1,39.277,1.68,845680640,1,0,0,1,0,0,0,0,11,0,0,398,5,0,0,0,212,4,0,1,47,99,65536,0,0,21.07,526070579,1073741824,71,92119944.0,7.0,175.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:03:57.512702Z,app1,34.789,1.68,836665344,1,0,0,0,0,0,0,0,11,0,0,425,5,0,0,0,266,4,0,0,47,100,65536,0,0,80.98,527643443,1073741824,71,71090992.0,8.0,513.0,63.0,0.0,400.0,1.0,2.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:01.858384Z,app1,45.287,1.62,832376832,1,0,0,0,0,0,0,0,11,0,0,452,5,0,0,0,170,4,0,0,47,100,65536,0,0,12.22,527748300,1073741824,71,91578800.0,8.0,513.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:05.865737Z,app1,36.856,1.49,832622592,1,0,0,0,0,0,0,0,11,0,0,453,5,0,0,0,224,4,0,0,47,100,65536,0,0,10.78,529006592,1073741824,71,103588320.0,8.0,513.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:09.837694Z,app1,35.43,1.61,837922816,1,0,0,0,0,0,0,0,11,0,0,443,5,0,0,0,278,4,0,0,47,101,65536,0,0,15.73,529950310,1073741824,71,77693064.0,9.0,520.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:13.809481Z,app1,32.642,1.64,833425408,1,0,0,1,0,0,0,0,11,0,0,428,5,0,0,0,179,4,0,1,47,108,65536,0,0,56.56,531103744,1073741824,71,97981248.0,9.0,520.0,63.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:17.683170Z,app1,42.989,1.64,826023936,1,0,0,1,0,0,0,0,11,0,0,424,5,0,0,0,233,4,1,1,48,108,65536,0,0,10.23,532257177,1073741824,71,68882248.0,10.0,525.0,63.0,2.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:21.799370Z,app1,36.823,1.59,827424768,1,0,0,2,0,0,0,0,11,0,0,451,5,0,0,0,287,4,0,2,47,109,65536,0,0,30.08,533620326,1073741824,71,85994696.0,10.0,525.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:25.989953Z,app1,41.606,1.71,825716736,1,0,0,2,0,0,0,0,11,0,0,448,5,0,0,0,179,4,0,2,46,109,65536,0,0,21.05,534564044,1073741824,70,104668392.0,10.0,525.0,62.0,0.0,400.0,1.0,2.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:30.148675Z,app1,36.408,1.89,817274880,1,0,0,2,0,0,0,0,11,0,0,435,5,0,0,0,233,4,0,2,46,110,65536,0,0,32.27,535402905,1073741824,70,79993432.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,52.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:33.996334Z,app1,30.863,1.98,829726720,1,0,0,2,0,0,0,0,10,0,0,425,5,0,0,0,287,4,0,2,27,92,65536,0,0,2.41,535612620,1073741824,70,88676712.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:37.958995Z,app1,26.336,1.98,818348032,2,0,0,2,0,0,0,0,10,0,0,421,5,0,0,0,342,5,0,2,27,95,65536,0,0,0.36,535717478,1073741824,70,91827032.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:41.797968Z,app1,24.267,1.9,819351552,1,0,0,2,0,0,0,0,10,0,0,448,5,0,0,0,223,4,0,2,26,95,65536,0,0,0.34,535717478,1073741824,70,95082328.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:45.519432Z,app1,27.663,1.75,819912704,1,0,0,2,0,0,0,0,10,0,0,450,5,0,0,0,277,4,0,2,26,96,65536,0,0,38.50,536346624,1073741824,70,98394848.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:49.009483Z,app1,33.041,1.69,817524736,1,0,0,2,0,0,0,0,10,0,0,441,5,0,0,0,331,4,0,2,26,96,65536,0,0,0.35,536346624,1073741824,70,101496192.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:52.695106Z,app1,24.435,1.69,821678080,1,0,0,2,0,0,0,0,10,0,0,468,5,0,0,0,223,4,0,2,26,96,65536,0,0,0.36,536136908,1073741824,70,104691336.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:04:56.456303Z,app1,24.213,1.55,822149120,1,0,0,2,0,0,0,0,10,0,0,456,5,0,0,0,277,4,0,2,26,96,65536,0,0,0.30,536241766,1073741824,70,108292456.0,11.0,530.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T10:05:00.799819Z,app1,36.977,1.75,789774336,3,0,0,5,0,0,0,0,10,0,0,450,5,0,0,0,338,6,0,5,28,117,65536,0,0,0.30,536346624,1073741824,70,66216280.0,12.0,560.0,62.0,0.0,400.0,0.0,3.0,0.0,8.0,51.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
