timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T10:02:56.052270Z,postgres,,0.22,445689856,6,0,0,56,0,0,0,0,6,0,0,0,0,0,0,0,174,9,0,56,20,407,7680,0,0,0.00,58258882,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288624,102486.10979899985,1,15.201000,4754695,6228,,,,,,,,,,,,
2026-08-20T10:02:57.797409Z,postgres,7.781,0.22,452472832,4,0,0,56,0,0,0,0,6,0,0,0,0,0,0,0,171,7,0,56,18,407,7680,0,0,0.02,58741227,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288625,102491.96827799985,1,6.383000,4754695,6228,,,,,,,,,,,,
2026-08-20T10:02:59.797974Z,postgres,8.354,0.22,454799360,4,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,173,7,0,49,18,283,7680,0,0,0.05,58772684,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288632,102494.43424199986,1,6.216000,4754699,6228,,,,,,,,,,,,
2026-08-20T10:03:01.807267Z,postgres,8.663,0.2,463777792,2,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,173,5,0,49,16,284,7680,0,0,2.01,60618178,961439334,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288633,102496.79836199986,1,6.287000,4754699,6228,,,,,,,,,,,,
2026-08-20T10:03:03.796224Z,postgres,6.65,0.2,474275840,1,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,174,4,0,49,15,284,7680,0,0,0.06,58783170,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288637,102499.29910599985,1,6.425000,4754701,6228,,,,,,,,,,,,
2026-08-20T10:03:05.848436Z,postgres,4.668,0.2,477134848,1,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,176,4,0,49,15,284,7680,0,0,0.00,58783170,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288641,102501.75944799985,1,6.196000,4754703,6228,,,,,,,,,,,,
2026-08-20T10:03:07.825710Z,postgres,4.103,0.35,473337856,1,0,0,49,0,0,0,0,6,0,0,0,0,0,0,0,178,4,0,49,15,284,7680,0,0,5.51,58793656,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288642,102504.13773899985,1,6.436000,4754703,6228,,,,,,,,,,,,
2026-08-20T10:03:09.849660Z,postgres,7.654,0.35,479268864,1,0,0,48,0,0,0,0,6,0,0,0,0,0,0,0,180,4,0,48,15,284,7680,0,0,0.06,58793656,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288649,102506.65452599988,1,6.140000,4754707,6228,,,,,,,,,,,,
2026-08-20T10:03:11.825232Z,postgres,5.627,0.32,478736384,2,0,0,48,0,0,0,0,6,0,0,0,0,0,0,0,183,5,0,48,16,287,7680,0,0,0.00,58793656,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288650,102509.01381399987,1,6.174000,4754707,6228,,,,,,,,,,,,
2026-08-20T10:03:13.836636Z,postgres,6.5,0.32,474894336,2,0,0,48,0,0,0,0,6,0,0,0,0,0,0,0,185,5,0,48,16,287,7680,0,0,0.08,58793656,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,288654,102511.46198699987,1,6.101000,4754709,6228,,,,,,,,,,,,
