spring-1  | 2026-08-20T08:21:46.602145182Z {"@timestamp":"2026-08-20T08:21:46.601732991Z","level":"INFO","requestId":"3dcc8543-d64d-4d41-a5be-603c2065fedd","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:46.842800077Z {"@timestamp":"2026-08-20T08:21:46.842488374Z","level":"INFO","requestId":"955febe4-8568-46e2-8125-ee7e918433d4","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:47.107065836Z {"@timestamp":"2026-08-20T08:21:47.106452169Z","level":"INFO","requestId":"8c5e3fff-a6db-410c-9efb-0c5c0531811a","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:47.345489134Z {"@timestamp":"2026-08-20T08:21:47.344661683Z","level":"INFO","requestId":"0b43f665-2be8-49d1-9715-618d088c1cc7","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:47.599692199Z {"@timestamp":"2026-08-20T08:21:47.599242551Z","level":"INFO","requestId":"cd0d18ad-8801-442f-9202-216dd55c6276","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:47.880731475Z {"@timestamp":"2026-08-20T08:21:47.879749949Z","level":"INFO","requestId":"f9c31551-8f2c-4894-a509-5b7cc4d76dfc","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:48.094962399Z {"@timestamp":"2026-08-20T08:21:48.094671282Z","level":"INFO","requestId":"03c4aded-16e1-4ce0-9561-834e84de56a1","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:48.355627023Z {"@timestamp":"2026-08-20T08:21:48.35417418Z","level":"INFO","requestId":"99224d19-e45a-4c10-ac7e-f3406c8dc2df","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:48.711350152Z {"@timestamp":"2026-08-20T08:21:48.711048451Z","level":"INFO","requestId":"75b13949-495e-493a-bfc9-8694230de8ce","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:48.966782137Z {"@timestamp":"2026-08-20T08:21:48.966438302Z","level":"INFO","requestId":"b6b63feb-928d-47d5-abea-e55299bb8bf4","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T08:21:49.229827980Z {"@timestamp":"2026-08-20T08:21:49.229510025Z","level":"INFO","requestId":"80dd0219-f666-47fc-8ad7-68a970b5b910","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
