timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T08:21:10.788910Z,app2,,0.23,823209984,6,0,0,16,0,0,0,0,7,0,0,6,5,0,0,0,174,9,0,16,21,108,65536,0,0,1.75,543372083,1073741824,70,72704144.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:14.554599Z,app2,26.722,0.23,819212288,4,0,0,16,0,0,0,0,7,0,0,34,5,0,0,0,223,7,0,16,20,108,65536,0,0,2.67,543372083,1073741824,70,76089408.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:18.388584Z,app2,26.139,0.29,841138176,1,0,0,16,0,0,0,0,7,0,0,61,5,0,0,0,186,4,0,16,17,109,65536,0,0,0.91,543476940,1073741824,70,79112144.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:22.204474Z,app2,23.192,0.26,843718656,1,0,0,16,0,0,0,0,7,0,0,89,5,0,0,0,240,4,0,16,17,109,65536,0,0,0.25,543476940,1073741824,70,82276192.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:26.018113Z,app2,25.906,0.56,846843904,1,0,0,16,0,0,0,0,7,0,0,117,5,0,0,0,186,4,0,16,17,109,65536,0,0,0.32,543581798,1073741824,70,85565904.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:29.837099Z,app2,24.394,0.68,842178560,1,0,0,16,0,0,0,0,7,0,0,144,5,0,0,0,240,4,0,16,17,109,65536,0,0,0.33,543686656,1073741824,70,88604408.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:33.714854Z,app2,24.037,0.68,838455296,1,0,0,16,0,0,0,0,7,0,0,173,5,0,0,0,176,4,0,16,17,81,65536,0,0,0.50,543686656,1073741824,70,91759864.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:37.618391Z,app2,25.591,0.62,838254592,1,0,0,16,0,0,0,0,7,0,0,200,5,0,0,0,230,4,0,16,17,81,65536,0,0,0.29,543686656,1073741824,70,94841096.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:41.388189Z,app2,24.763,0.57,842661888,1,0,0,16,0,0,0,0,7,0,0,229,5,0,0,0,284,4,0,16,17,81,65536,0,0,0.30,543791513,1073741824,70,97823344.0,14.0,583.0,62.0,0.0,400.0,0.0,2.0,0.0,8.0,48.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20T08:21:45.454041Z,app2,28.129,0.61,835141632,1,0,0,16,0,0,0,0,8,0,0,257,5,0,0,0,218,4,0,16,18,82,65536,0,0,51.03,543896371,1073741824,70,112373408.0,14.0,583.0,62.0,0.0,400.0,1.0,1.0,0.0,8.0,50.0,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
