spring-1  | 2026-08-20T09:09:27.252156025Z {"@timestamp":"2026-08-20T09:09:27.251372045Z","level":"WARN","requestId":"492bb226-b883-4a19-a710-90ea741d3137","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.253245834Z {"@timestamp":"2026-08-20T09:09:27.252898389Z","level":"WARN","requestId":"492bb226-b883-4a19-a710-90ea741d3137","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.269371880Z {"@timestamp":"2026-08-20T09:09:27.268925129Z","level":"ERROR","requestId":"492bb226-b883-4a19-a710-90ea741d3137","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.274354047Z {"@timestamp":"2026-08-20T09:09:27.272167594Z","level":"ERROR","requestId":"492bb226-b883-4a19-a710-90ea741d3137","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.283949978Z {"@timestamp":"2026-08-20T09:09:27.283522288Z","level":"ERROR","requestId":"492bb226-b883-4a19-a710-90ea741d3137","event":"http_request_failed","failureCode":"HTTP_SERVER_ERROR","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.454087320Z {"@timestamp":"2026-08-20T09:09:27.453623781Z","level":"WARN","requestId":"68dfc4b2-2f6a-4164-99f4-dc9d097affaa","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.454351286Z {"@timestamp":"2026-08-20T09:09:27.454162142Z","level":"WARN","requestId":"68dfc4b2-2f6a-4164-99f4-dc9d097affaa","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.461135570Z {"@timestamp":"2026-08-20T09:09:27.456571609Z","level":"ERROR","requestId":"68dfc4b2-2f6a-4164-99f4-dc9d097affaa","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.464143254Z {"@timestamp":"2026-08-20T09:09:27.462313017Z","level":"ERROR","requestId":"68dfc4b2-2f6a-4164-99f4-dc9d097affaa","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.487377923Z {"@timestamp":"2026-08-20T09:09:27.486902586Z","level":"ERROR","requestId":"68dfc4b2-2f6a-4164-99f4-dc9d097affaa","event":"http_request_failed","failureCode":"HTTP_SERVER_ERROR","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:27.704015890Z {"@timestamp":"2026-08-20T09:09:27.703044078Z","level":"INFO","requestId":"647ea9b7-d058-48e7-99b6-34a085d7e771","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
