timestampUtc,role,hostCpuPercent,hostLoad1,hostMemAvailableBytes,hostTcpEstablished,hostTcpSynSent,hostTcpSynRecv,hostTcpTimeWait,hostRedisTcpEstablished,hostRedisTcpSynSent,hostRedisTcpSynRecv,hostRedisTcpTimeWait,workloadTcpEstablished,workloadTcpSynSent,workloadTcpSynRecv,workloadTcpTimeWait,workloadRedisTcpEstablished,workloadRedisTcpSynSent,workloadRedisTcpSynRecv,workloadRedisTcpTimeWait,hostSocketsUsed,hostTcpInUse,hostTcpOrphan,hostTcpTw,hostTcpAlloc,hostConntrackCount,hostConntrackMax,hostListenOverflows,hostListenDrops,containerCpuPercent,containerMemUsageBytes,containerMemLimitBytes,containerPids,jvmHeapUsedBytes,jvmGcPauseCount,jvmGcPauseTotalSeconds,jvmThreadsLive,tomcatThreadsBusy,tomcatThreadsMax,hikariActive,hikariIdle,hikariPending,hikariMax,processOpenFileDescriptors,processMaxFileDescriptors,authrequestLimitCount,authrequestLimitTotalSeconds,authrequestLimitMaxSeconds,authuserLookupCount,authuserLookupTotalSeconds,authuserLookupMaxSeconds,authbcryptPermitCount,authbcryptPermitTotalSeconds,authbcryptPermitMaxSeconds,authbcryptVerifyCount,authbcryptVerifyTotalSeconds,authbcryptVerifyMaxSeconds,authsessionSaveCount,authsessionSaveTotalSeconds,authsessionSaveMaxSeconds,postgresConnections,postgresActive,postgresWaitingLocks,postgresQueryCalls,postgresQueryTimeMs,postgresTransactionCount,postgresTransactionDurationMs,postgresSharedBuffersHit,postgresSharedBuffersRead,redisUsedMemoryBytes,redisConnectedClients,redisBlockedClients,redisOpsPerSecond,redisLatencyLatestMs,redisTotalConnectionsReceived,redisTotalCommandsProcessed,redisRejectedConnections,redisTotalErrorReplies,k6CpuPercent,k6RssBytes,collectionErrors
2026-08-20T09:08:48.325862Z,postgres,,0.33,463974400,6,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,180,9,0,24,20,360,7680,0,0,0.05,58237911,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226729,90688.79260699988,1,13.902000,3131878,5013,,,,,,,,,,,,
2026-08-20T09:08:50.058086Z,postgres,8.092,0.3,449359872,5,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,178,8,0,24,19,361,7680,0,0,0.04,58573455,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226733,90692.04502699988,1,6.445000,3131880,5013,,,,,,,,,,,,
2026-08-20T09:08:52.085069Z,postgres,5.303,0.3,456675328,5,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,180,8,0,24,19,361,7680,0,0,0.00,58615398,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226734,90694.51793199989,1,6.539000,3131880,5013,,,,,,,,,,,,
2026-08-20T09:08:54.059548Z,postgres,8.838,0.3,471814144,3,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,180,6,0,24,17,361,7680,0,0,0.00,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226738,90696.92806699988,1,6.315000,3131882,5013,,,,,,,,,,,,
2026-08-20T09:08:56.066781Z,postgres,5.063,0.28,483098624,2,0,0,24,0,0,0,0,6,0,0,0,0,0,0,0,181,5,0,24,16,361,7680,0,0,5.06,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226742,90699.44355799988,1,6.423000,3131884,5013,,,,,,,,,,,,
2026-08-20T09:08:58.081513Z,postgres,6.733,0.28,481615872,2,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,183,5,0,19,16,361,7680,0,0,0.06,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226746,90701.95258799985,1,7.606000,3131886,5013,,,,,,,,,,,,
2026-08-20T09:09:00.184725Z,postgres,8.134,0.25,478015488,2,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,185,5,0,19,16,361,7680,0,0,0.05,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226750,90704.94783199986,1,6.589000,3131888,5013,,,,,,,,,,,,
2026-08-20T09:09:02.077914Z,postgres,8.136,0.25,480485376,2,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,187,5,0,19,16,361,7680,0,0,0.00,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226751,90707.43830599987,1,6.709000,3131888,5013,,,,,,,,,,,,
2026-08-20T09:09:04.088999Z,postgres,7.232,0.25,479674368,2,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,189,5,0,19,16,361,7680,0,0,0.00,58625884,961439334,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226755,90709.93471199986,1,6.500000,3131890,5013,,,,,,,,,,,,
2026-08-20T09:09:06.098285Z,postgres,4.762,0.23,478605312,2,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,191,5,0,19,16,362,7680,0,0,1.96,60607692,961439334,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,226759,90712.38493899986,1,6.246000,3131892,5013,,,,,,,,,,,,
