query_id,source,primary_intent,secondary_intents,constraint_types,query_form,answerability,ambiguous,outlier
Q001,existing_fixture,INTERACTION_MODE,MECHANIC_RULE;STRUCTURED_FIT,HARD_PLAYERS,natural_ko,HUMAN_QRELS,no,no
Q002,existing_fixture,OCCASION_CONTEXT,STRUCTURED_FIT;ACCESSIBILITY;PLAY_EXPERIENCE,HARD_PLAYERS;CONTEXT_HINT;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q003,existing_fixture,MECHANIC_RULE,STRUCTURED_FIT,HARD_PLAYERS;HARD_TIME,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q004,existing_fixture,TITLE_EXACT,-,NONE,title_lookup,DIRECT_CATALOG,no,no
Q005,existing_fixture,TITLE_EXACT,-,NONE,title_lookup_en,DIRECT_CATALOG,no,no
Q006,existing_fixture,TITLE_EXACT,-,NONE,title_lookup,DIRECT_CATALOG,no,no
Q007,existing_fixture,TITLE_EXACT,-,NONE,title_lookup,DIRECT_CATALOG,no,no
Q008,existing_fixture,TITLE_EXACT,-,NONE,title_lookup,DIRECT_CATALOG,no,no
Q009,existing_fixture,TITLE_EXACT,-,NONE,title_lookup,DIRECT_CATALOG,no,no
Q010,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q011,existing_fixture,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,HUMAN_QRELS,no,no
Q012,existing_fixture,INTERACTION_MODE,MECHANIC_RULE;PLAY_EXPERIENCE,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,no,no
Q013,existing_fixture,MECHANIC_RULE,STRUCTURED_FIT,HARD_PLAYERS;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q014,existing_fixture,MECHANIC_RULE,STRUCTURED_FIT,HARD_PLAYERS;HARD_TIME,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q015,existing_fixture,MECHANIC_RULE,STRUCTURED_FIT,HARD_PLAYERS;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q016,existing_fixture,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q017,existing_fixture,INTERACTION_MODE,PLAY_EXPERIENCE,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q018,existing_fixture,ACCESSIBILITY,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
